2017-05-09 01:16:15.157562,858610,447073,MMA7080,Movies & TV Shows,Valkyrie Drive: Mermaid - The Complete Series,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/valkyrie-drive-mermaid-the-complete-series/447073/
2017-05-09 01:16:19.755532,858620,447061,VVE1144,Movies & TV Shows,Virginian- The - Season 9,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/virginian-the-season-9/447061/
2017-05-09 01:16:24.367285,858632,447078,WWE95613,Movies & TV Shows,WWE: Seth Rollins - Building the Architect,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-sports/wwe-seth-rollins-building-the-architect/447078/
2017-05-09 01:16:29.055479,858527,446914,VVE1140,Movies & TV Shows,Dominion - Season 2,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-fantasy/dominion-season-2/446914/
2017-05-09 01:16:33.435773,858528,446902,MMA7118,Movies & TV Shows,Dagashi Kashi - The Complete Series,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/dagashi-kashi-the-complete-series/446902/
2017-05-09 01:16:38.791552,858529,446889,MMA6152,Movies & TV Shows,Aria The Scarlet Ammo AA - Season 2,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/aria-the-scarlet-ammo-aa-season-2/446889/
2017-05-09 01:16:43.562406,858530,446884,MMA4820,Movies & TV Shows,Actually- I Am... - Complete Series,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/actually-i-am-complete-series/446884/
2017-05-09 01:16:48.031298,858532,446893,MMA6152BR,Movies & TV Shows,Aria The Scarlet Ammo AA - Season 2,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/aria-the-scarlet-ammo-aa-season-2/446893/
2017-05-09 01:16:52.490705,858534,446910,VVE1142,Movies & TV Shows,Diagnosis Murder - Season 7,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-crime/diagnosis-murder-season-7/446910/
2017-05-09 01:16:56.875065,858538,446918,VVE1141,Movies & TV Shows,Dominion - Season 2,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-fantasy/dominion-season-2/446918/
