2017-04-08 00:57:55.600552,857155,398919,FUN13045,Gaming,Catdog Pop! Vinyl Figure,FUNKO,2017-05-24,https://www.jbhifi.com.au/games-consoles/platforms/funko/catdog-pop-vinyl-figure/398919/
2017-04-08 00:57:59.790933,857156,398869,FUN12187,Gaming,Gears of War - Oscar Diaz Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-oscar-diaz-pop-vinyl-figure/398869/
2017-04-08 00:58:03.850313,857157,398871,FUN12189,Gaming,Gears of War - Dominic Santiago Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-dominic-santiago-pop-vinyl-figure/398871/
2017-04-08 00:58:08.284138,857158,398872,FUN12190,Gaming,Gears of War - Damon Baird Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-damon-baird-pop-vinyl-figure/398872/
2017-04-08 00:58:16.192187,857159,398879,FUN12192,Gaming,Gears of War - Brumak 6" Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-brumak-6-pop-vinyl-figure/398879/
2017-04-08 00:58:20.629399,857160,398870,FUN12188,Gaming,Gears of War - Marcus Fenix (Old Man) Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-marcus-fenix-old-man-pop-vinyl-figure/398870/
2017-04-08 00:58:24.963427,857161,398873,FUN12191,Gaming,Gears of War - Augustus Cole Pop! Vinyl Figure,FUNKO,2017-05-23,https://www.jbhifi.com.au/games-consoles/platforms/funko/gears-of-war-augustus-cole-pop-vinyl-figure/398873/
2017-04-08 00:58:29.420058,856815,398905,FUN13309,Gaming,Overwatch - Mei Mid Blizzard Pop! Vinyl Figure,FUNKO,2017-05-05,https://www.jbhifi.com.au/games-consoles/platforms/funko/overwatch-mei-mid-blizzard-pop-vinyl-figure/398905/
2017-04-08 00:58:37.837502,856873,398912,FUN10870,Gaming,Disney - Ursula & Cruella de Vil Pop! Vinyl Figure 2-Pack,FUNKO,2017-04-11,https://www.jbhifi.com.au/games-consoles/platforms/funko/disney-ursula-cruella-de-vil-pop-vinyl-figure-2-pack/398912/
2017-04-08 00:58:41.926096,856874,398913,FUN12543,Gaming,Wonder Woman Movie - Wonder Woman Amazon Pop! Vinyl Figure,FUNKO,2017-04-10,https://www.jbhifi.com.au/games-consoles/platforms/funko/wonder-woman-movie-wonder-woman-amazon-pop-vinyl-figure/398913/
2017-04-08 00:59:23.844056,833822,958041,FUN10777,Gaming,Batman as Villains - Batman / Harley Impopster Pop! Vinyl Figure,FUNKO,2017-02-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-as-villains-batman-harley-impopster-pop-vinyl-figure/958041/
2017-04-08 01:21:27.334729,857078,422097,DEW9000951,Music,Ultralife (Vinyl),UMA,2017-06-16,https://www.jbhifi.com.au/music/Whats-Hot/alternative/ultralife-vinyl/422097/
2017-04-08 01:21:36.186342,856539,421931,NRV037,Music,Punchbuzz (Limited Edition Gold / Blue Marble Vinyl),UMA,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/alternative/punchbuzz-limited-edition-gold-blue-marble-vinyl/421931/
2017-04-08 01:21:40.577426,856756,422188,WEIRD087LP,Music,Peasant (Vinyl),UMA,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/indie-alternative-folk/peasant-vinyl/422188/
2017-04-08 01:22:02.227789,856374,422039,SANV05,Music,Water- The (Vinyl),MGM,2017-05-05,https://www.jbhifi.com.au/music/Whats-Hot/alternative/water-the-vinyl/422039/
2017-04-08 01:22:18.981691,849928,329064,EKOK001CD,Music,Damage And Joy,WARNER,2017-03-24,https://www.jbhifi.com.au/music/browse/alternative/damage-and-joy/329064/
2017-04-08 01:22:23.789401,851182,332269,PRD75162,Music,Midnight Highway,WARNER,2017-03-24,https://www.jbhifi.com.au/music/browse/blues/midnight-highway/332269/
2017-04-08 01:22:28.278142,851655,332566,538257472,Music,String Quartets- The,WARNER,2017-03-24,https://www.jbhifi.com.au/music/browse/rock/string-quartets-the/332566/
2017-04-08 01:22:33.175807,854283,352882,NB38130,Music,For The Fallen,UMA SBT,2017-03-24,https://www.jbhifi.com.au/music/browse/death-metal-metal/for-the-fallen/352882/
2017-04-08 01:22:37.678221,854400,352883,538196912,Music,From Now On,WARNER,2017-03-24,https://www.jbhifi.com.au/music/browse/easy-listening/from-now-on/352883/
