2017-04-25 01:12:02.968888,856150,421135,BHE7635,Movies & TV Shows,Killing Season- The,BEYOND,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-special-interest/killing-season-the/421135/
2017-04-25 01:12:07.378934,856299,421294,KAL4210,Movies & TV Shows,Love Boat- The - Season 4 Volume 1,SHOCK,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-comedy/love-boat-the-season-4-volume-1/421294/
2017-04-25 01:12:11.833368,856224,421298,KAL4211,Movies & TV Shows,Love Boat- The - Season 4 Volume 2,SHOCK,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-comedy/love-boat-the-season-4-volume-2/421298/
2017-04-25 01:12:16.253340,856294,421308,KAL4215,Movies & TV Shows,Partridge Family- The - Complete Series,SHOCK,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-comedy/partridge-family-the-complete-series/421308/
2017-04-25 01:12:20.676867,856142,421139,BHE7633,Movies & TV Shows,American Takedown,BEYOND,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-special-interest/american-takedown/421139/
2017-04-25 01:21:58.206766,834825,967456,C-124650-9,Movies & TV Shows,Place Beyond the Pines- The,REEL,2016-08-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/place-beyond-the-pines-the/967456/
2017-04-25 01:22:02.732238,835237,967434,16208SDG,Movies & TV Shows,Overboard,20TH CENTURY FOX,2016-06-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/overboard/967434/
2017-04-25 01:22:07.376836,824894,930308,MP128,Movies & TV Shows,Excess Flesh,GRYPHON,2016-03-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/excess-flesh/930308/
2017-04-25 01:22:12.218628,824953,930100,EAG3023,Movies & TV Shows,Howl,GRYPHON,2016-03-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/howl/930100/
2017-04-25 01:22:21.287110,824917,930181,C-124129-9,Movies & TV Shows,Whip It,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/whip-it/930181/
2017-04-25 01:22:25.949607,825064,930165,C-124125-9,Movies & TV Shows,Machine Gun Preacher,REEL,2016-03-09,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/machine-gun-preacher/930165/
2017-04-25 01:22:31.041717,823404,888893,MP122,Movies & TV Shows,Bound To Vengeance,GRYPHON,2016-02-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/bound-to-vengeance/888893/
2017-04-25 01:22:35.797774,823496,888937,MP103,Movies & TV Shows,Nazi Vengeance,GRYPHON,2016-02-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/nazi-vengeance/888937/
2017-04-25 01:22:40.913232,823498,888949,MP120,Movies & TV Shows,Starve,GRYPHON,2016-02-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/starve/888949/
2017-04-25 01:22:46.179780,823497,889140,EAG2967,Movies & TV Shows,Lap Dance,GRYPHON,2016-02-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/lap-dance/889140/
2017-04-25 01:22:51.013632,822202,856082,DG5024,Movies & TV Shows,Boulevard,UNISPHE,2016-01-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/boulevard/856082/
2017-04-25 01:22:56.069918,821878,856258,MP107,Movies & TV Shows,Tormented,GRYPHON,2016-01-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/tormented/856258/
