2017-05-06 01:23:03.677327,819085,806474,DG5025,Movies & TV Shows,Macbeth,UNISPHE,2016-02-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/macbeth/806474/
2017-05-06 01:23:08.537142,823393,888914,IFS876T4,Movies & TV Shows,Transporter Refueled- The,ICON,2016-01-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/transporter-refueled-the/888914/
2017-05-06 01:23:13.342332,823299,888918,IFBD876T4,Movies & TV Shows,Transporter Refueled- The,ICON,2016-01-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/transporter-refueled-the/888918/
2017-05-06 01:23:18.050217,823588,889374,DE7997,Movies & TV Shows,Straight Outta Compton,UNISPHE,2016-01-14,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/straight-outta-compton/889374/
2017-05-06 01:23:22.860907,823587,889398,BDE7997,Movies & TV Shows,Straight Outta Compton,UNISPHE,2016-01-14,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/straight-outta-compton/889398/
2017-05-06 01:23:27.334989,815978,802210,BD20225,Movies & TV Shows,Bad Boys 2,UNIPSHE,2015-11-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bad-boys-2/802210/
2017-05-06 01:23:36.589132,815309,765797,62560SBG,Movies & TV Shows,Spy,20TH CENTURY FOX,2015-09-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/spy/765797/
2017-05-06 01:23:40.005465,812781,765905,62560SDG,Movies & TV Shows,Spy,20TH CENTURY FOX,2015-09-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/spy/765905/
2017-05-06 01:23:45.186571,807943,725839,BDE7446,Movies & TV Shows,Gunman- The,UNISPHE,2015-08-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/gunman-the/725839/
2017-05-06 01:23:49.732050,807981,725835,DE7446,Movies & TV Shows,Gunman- The,UNISPHE,2015-08-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/gunman-the/725835/
2017-05-06 01:23:54.327226,807254,705087,62211SBG,Movies & TV Shows,Kingsman: The Secret Service,20TH CENTURY FOX,2015-07-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/kingsman-the-secret-service/705087/
2017-05-06 01:23:59.104307,801683,697661,62211SDG,Movies & TV Shows,Kingsman: The Secret Service,20TH CENTURY FOX,2015-07-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/kingsman-the-secret-service/697661/
2017-05-06 01:24:03.875859,801505,688876,AUDVD9820,Movies & TV Shows,Gambler- The,UNISPHE,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/gambler-the/688876/
2017-05-06 01:24:08.672898,799143,673902,R-114205-8,Movies & TV Shows,Hunger Games- The: Mockingjay - Part 1,ROADSHOW,2015-03-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the-mockingjay-part-1/673902/
2017-05-06 01:24:13.246841,795972,666382,R-114205-9,Movies & TV Shows,Hunger Games- The: Mockingjay - Part 1,ROADSHOW,2015-03-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/hunger-games-the-mockingjay-part-1/666382/
2017-05-06 01:24:18.069693,795434,661055,IFB2D836SC,Movies & TV Shows,Sin City 2: A Dame to Kill For,ICON,2015-01-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/sin-city-2-a-dame-to-kill-for/661055/
2017-05-06 01:24:22.789535,790644,637978,BDE2709,Movies & TV Shows,Lucy,UNISPHE,2014-12-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/sci-fi/lucy/637978/
2017-05-06 01:24:27.471058,790516,637982,DE2709,Movies & TV Shows,Lucy,UNISPHE,2014-12-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/sci-fi/lucy/637982/
2017-05-06 01:24:31.741263,785154,587338,AUDVD9737,Movies & TV Shows,Bad Grandpa .5,UNISPHE,2014-09-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bad-grandpa-5/587338/
