ID          SKU         ModelID     category             title                           brand       releaseDate  URL                                                                                            
792761      650478      MGTY2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi (  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-silver/6
817219      807067      MK9P2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-silver/
817221      807065      MK9Q2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-gold/80
817222      807068      MK9N2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-space-g
792762      650479      MGTX2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi (  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-space-gr
843492      954262      MNVP2X/A    Computers & Tablets  Apple iPad Air 2 32GB Wi-Fi +   APPLE       2016-09-16   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-32gb-wi-fi-cellular-
843488      314330      MNWG2X/A    Computers & Tablets  Apple iPad mini 4 32GB Wi-Fi +  APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-32gb-wi-fi-cellular
843504      314265      ZA0V0096AU  Computers & Tablets  Lenovo Yoga Book 64GB Android   LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-book-64gb-android-tablet
830079      947880      MM172X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-ro
830060      947906      MLMQ2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-go
830052      947898      MLMN2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-sp
837974      956472      SM-T819YZK  Computers & Tablets  Samsung Galaxy Tab S2 9.7" LTE  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-9-7-lte-64gb-
792764      650474      MGWL2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi +  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-cellular
792759      650473      MGWM2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi +  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-cellular
792833      650472      MH1G2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi +  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-cellular
817476      807086      MK772X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-cellula
817503      807087      MK762X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-cellula
817500      807085      MK782X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-cellula
844450      317884      DQR-00007   Computers & Tablets  Microsoft Surface Pro 4 CoreM   MICROSOFT   2016-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/microsoft/microsoft-surface-pro-4-corem-128
830077      947884      MM192X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 128GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-128gb-wi-fi-r
830072      947910      MLMV2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 128GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-128gb-wi-fi-s
830075      947918      MLMX2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 128GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-128gb-wi-fi-g
830083      947919      MLYJ2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-ce
830078      947883      MLPW2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-ce
820824      843399      ML0H2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 32GB   APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-32gb-wi-fi-g
820825      843401      ML0F2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 32GB   APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-32gb-wi-fi-s
820826      843400      ML0G2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 32GB   APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-32gb-wi-fi-s
830076      947879      MLN12X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 256GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-256gb-wi-fi-g
830070      947888      MM1A2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 256GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-256gb-wi-fi-r
830080      947923      MLMY2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 256GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-256gb-wi-fi-s
830158      947927      MLYL2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 128GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-128gb-wi-fi-c
830084      947895      MLQ32X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 128GB   APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-128gb-wi-fi-c
846322      314281      943117      Computers & Tablets  Samsung Galaxy TabPro S 12" Wi  SAMSUNG     2016-04-18   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tabpro-s-12-windows-
820876      843402      ML0R2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
820875      843403      ML0Q2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
820878      843404      ML0N2X/A    Computers & Tablets  Apple 12.9-inch iPad Pro 128GB  APPLE       2015-10-28   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-12-9-inch-ipad-pro-128gb-wi-fi-
