2017-03-17 01:03:18.753414,828531,942645,DAVID3479,Movies & TV Shows,Return Of Swamp Thing- The,SHOCK,2016-05-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/return-of-swamp-thing-the/942645/
2017-03-17 01:03:23.953679,665525,145588,DAVID3486,Movies & TV Shows,Inn Of The Damned / Night Of Fear,UMBRELLA,2016-05-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/inn-of-the-damned-night-of-fear/145588/
2017-03-17 01:03:33.203784,828770,942637,DAVID3476,Movies & TV Shows,Punisher- The,SHOCK,2016-05-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/punisher-the/942637/
2017-03-17 01:03:38.587557,828654,942657,DAVID3484,Movies & TV Shows,Homeboy,SHOCK,2016-05-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/homeboy/942657/
2017-03-17 01:03:43.553054,438893,293234,DAVID2086,Movies & TV Shows,Veronika Decides To Die,PAYLESS,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/veronika-decides-to-die/293234/
2017-03-17 01:03:48.531692,440938,284600,DAVID2181,Movies & TV Shows,Life Blood,PAYLESS,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/life-blood/284600/
2017-03-17 01:03:53.531459,508168,298506,DAVID2450,Movies & TV Shows,Reivers- The,PAYLESS,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/reivers-the/298506/
2017-03-17 01:03:59.124125,579763,278070,DAVID2248,Movies & TV Shows,Wrath Of Cain,PAYLESS,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/wrath-of-cain/278070/
2017-03-17 01:04:04.170642,826638,936260,DAVID3463,Movies & TV Shows,Elephant Song,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/elephant-song/936260/
2017-03-17 01:04:09.421468,826779,936293,DAVID3483,Movies & TV Shows,Body Melt,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/body-melt/936293/
2017-03-17 01:04:14.326110,459222,258036,DAVID2069,Movies & TV Shows,Drive In Delirium - Volume 1,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/drive-in-delirium-volume-1/258036/
2017-03-17 01:04:19.081083,826677,936276,DAVID3467,Movies & TV Shows,Crossroads,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/crossroads/936276/
2017-03-17 01:04:24.030980,826776,936256,DAVID3461,Movies & TV Shows,Night Of The Living Dead,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/night-of-the-living-dead/936256/
2017-03-17 01:04:28.744993,826673,936252,DAVID3460,Movies & TV Shows,Night Of The Living Dead,UMBRELLA,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/night-of-the-living-dead/936252/
2017-03-17 01:04:34.538316,718138,284608,DAVID2290,Movies & TV Shows,Highlander 3: The Sorcerer,PAYLESS,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/highlander-3-the-sorcerer/284608/
2017-03-17 01:04:39.435172,826780,936212,DAVID3448,Movies & TV Shows,Night Of The Creeps,UMBRELLA,2016-03-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/night-of-the-creeps/936212/
2017-03-17 01:04:44.417387,826778,936216,DAVID3449,Movies & TV Shows,Night Of The Creeps,UMBRELLA,2016-03-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/night-of-the-creeps/936216/
2017-03-17 01:06:21.522174,854586,352936,FSRCD055,Music,Soul Messin' (Reissue),WARNER/INERTIA,2017-03-17,https://www.jbhifi.com.au/music/browse/funk-soul/soul-messin-reissue/352936/
