2017-03-18 01:06:00.462021,855614,360775,MMR0021,Music,Brand New Day (Vinyl),UMA,2017-03-31,https://www.jbhifi.com.au/music/Whats-Hot/country/brand-new-day-vinyl/360775/
2017-03-18 01:06:04.968944,855621,360788,AE36811,Music,This Is Goodbye (Limited Edition) (Vinyl),UMA,2017-03-31,https://www.jbhifi.com.au/music/Whats-Hot/post-hardcore-metal/this-is-goodbye-limited-edition-vinyl/360788/
2017-03-18 01:07:22.634177,502438,420139,ILL094CD,Music,Circus In The Sky,UMA,2013-06-28,https://www.jbhifi.com.au/music/browse/urban-rap/circus-in-the-sky/420139/
2017-03-18 01:08:22.366425,854909,360395,NA5127CD,Music,Yaraandoo / Hara,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/psychedelia-alternative/yaraandoo-hara/360395/
2017-03-18 01:08:27.416941,854911,360379,TRR286CD,Music,Some Offcell Voices,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/alternative/some-offcell-voices/360379/
2017-03-18 01:08:40.193405,855607,360755,60254797050,Music,Endless,UMA SBT,2017-03-31,https://www.jbhifi.com.au/music/browse/ambient-electronic-dance-crossover/endless/360755/
2017-03-18 01:08:44.883300,854898,360568,ALC5002CD,Music,Rapper's Best Friend 4,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/rap-hip-hop-beats/rappers-best-friend-4/360568/
2017-03-18 01:08:49.622060,854900,360371,GI281CD,Music,Kwiaty,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/electronic/kwiaty/360371/
2017-03-18 01:09:20.333778,853078,336735,88985417762,Music,Drogas Light,SONY MUSIC SBT,2017-02-24,https://www.jbhifi.com.au/music/browse/rap-hip-hop/drogas-light/336735/
2017-03-18 01:09:25.287784,853084,336739,88985417342,Music,Fin,SONY MUSIC SBT,2017-02-24,https://www.jbhifi.com.au/music/browse/rap-hip-hop/fin/336739/
2017-03-18 01:10:03.437383,852565,336659,NB38080,Music,Bringer Of Pain (Limited Edition),UMA SBT,2017-03-03,https://www.jbhifi.com.au/music/browse/metal/bringer-of-pain-limited-edition/336659/
2017-03-18 01:10:09.282883,850963,332323,PRD75182,Music,Middle Of The Road,WARNER,2017-02-24,https://www.jbhifi.com.au/music/browse/hard-rock-blues-rock/middle-of-the-road/332323/
2017-03-18 01:10:25.849350,851026,332307,8122794117,Music,Gimme Danger: The Story Of The Stooges - Ost,WARNER,2017-02-24,https://www.jbhifi.com.au/music/browse/punk-rock/gimme-danger-the-story-of-the-stooges-ost/332307/
2017-03-18 01:10:52.620458,849597,328921,5733649,Music,Loaded,UMA SBT,2017-02-24,https://www.jbhifi.com.au/music/browse/country/loaded/328921/
2017-03-18 01:11:01.748643,852545,336502,5730477,Music,Alone In Bad Company,UMA SBT,2017-02-24,https://www.jbhifi.com.au/music/browse/blues-roots/alone-in-bad-company/336502/
2017-03-18 01:11:22.348080,852757,336640,SJRCD367,Music,Studio One Rocksteady Vol 2: Soul Of Young Jamaica - Rocksteady- Soul & Early Reggae At Studio One,WARNER/INERTIA,2017-02-24,https://www.jbhifi.com.au/music/browse/reggae/studio-one-rocksteady-vol-2-soul-of-young-jamaica-rocksteady-soul-early-reggae-a/336640/
2017-03-18 01:11:27.547472,852602,336574,CARTELL056,Music,Womad - The World's Festival 2017,WARNER/INERTIA,2017-02-17,https://www.jbhifi.com.au/music/browse/rock-pop-world-music/womad-the-worlds-festival-2017/336574/
2017-03-18 01:11:49.818000,854901,360375,NA5146CD,Music,Tempo Dos Mestres,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/world-music/tempo-dos-mestres/360375/
2017-03-18 01:12:56.081629,854928,360399,CST122CD,Music,Infected Mass- The,ROCKET LOCAL,2017-03-17,https://www.jbhifi.com.au/music/browse/classical/infected-mass-the/360399/
2017-03-18 01:21:58.210125,854781,398840,3241317,iPods- Docks & Fitness,Harman Kardon Equire 2 Bluetooth Speaker,HARMAN KARDON,2017-03-01,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/harman-kardon/harman-kardon-equire-2-bluetooth-speaker/398840/
2017-03-18 01:22:05.890115,832473,954301,3241323,iPods- Docks & Fitness,Harman Kardon Esquire Mini (White),HARMAN KARDON,2016-04-22,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/harman-kardon/harman-kardon-esquire-mini-white/954301/
2017-03-18 01:33:07.828654,784416,601496,HR6TFF437SD,Whitegoods & Appliances,Hisense Top Mount 436L Refrigerator (Stainless Steel),HISENSE,2012-12-19,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/hisense/hisense-top-mount-436l-refrigerator-stainless-steel/601496/
2017-03-18 01:33:16.483243,827742,939828,SRF533DLS,Whitegoods & Appliances,Samsung SRF533DLS 533L French Door Fridge,SAMSUNG,2016-02-17,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/samsung/samsung-srf533dls-533l-french-door-fridge/939828/
2017-03-18 01:33:25.568674,796521,670610,SRF583DLS,Whitegoods & Appliances,Samsung SRF583DLS 583L French Door Fridge,SAMSUNG,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/fridges-freezers/samsung/samsung-srf583dls-583l-french-door-fridge/670610/
2017-03-18 01:34:03.978018,798841,680669,SWT5541,Whitegoods & Appliances,Simpson SWT5541 5.5kg Top Load Washing Machine,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt5541-5-5kg-top-load-washing-machine/680669/
2017-03-18 01:34:08.617067,799656,684986,SWT6541,Whitegoods & Appliances,Simpson SWT6541 6.5kg EZI Set Top Load Washer,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt6541-6-5kg-ezi-set-top-load-washer/684986/
2017-03-18 01:34:13.347124,851123,334337,SWT8043,Whitegoods & Appliances,Simpson SWT8043 8KG Top Load Washer,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt8043-8kg-top-load-washer/334337/
2017-03-18 01:34:18.024674,851122,334338,SWT9043,Whitegoods & Appliances,Simpson SWT9043 9KG Top Load Washer,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt9043-9kg-top-load-washer/334338/
2017-03-18 01:34:26.520232,851129,334339,SWT9043A,Whitegoods & Appliances,Simpson SWT9043 9KG Top Load Washer with Active Boost,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt9043-9kg-top-load-washer-with-active-boost/334339/
2017-03-18 01:34:30.942144,851128,334340,SWT1043,Whitegoods & Appliances,Simpson SWT1043 10KG Top Load Washer with Active Boost,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt1043-10kg-top-load-washer-with-active-boost/334340/
2017-03-18 01:34:35.383637,851127,334341,SWT1023A,Whitegoods & Appliances,Simpson SWT1023A 10KG Top Load Washer with Active Boost,SIMPSON,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/laundry/simpson/simpson-swt1023a-10kg-top-load-washer-with-active-boost/334341/
2017-03-18 01:35:01.945592,854641,380286,RK103,Whitegoods & Appliances,Tefal RK103 Rice Cooker (Sparkle Black),TEFAL,2017-03-01,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/tefal/tefal-rk103-rice-cooker-sparkle-black/380286/
2017-03-18 01:35:11.177620,853487,352140,KE2110CP,Whitegoods & Appliances,Sunbeam London Collection Pot Kettle (Champagne),SUNBEAM,2016-02-09,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/sunbeam/sunbeam-london-collection-pot-kettle-champagne/352140/
2017-03-18 01:35:46.309526,854638,360281,DO826,Whitegoods & Appliances,Tefal Double Force Food Processor,TEFAL,2017-03-01,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/tefal/tefal-double-force-food-processor/360281/
2017-03-18 01:35:51.101321,853488,352150,352150,Whitegoods & Appliances,Sunbeam London Collection 4 Slice Toaster (Champagne),SUNBEAM,2017-02-09,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/sunbeam/sunbeam-london-collection-4-slice-toaster-champagne/352150/
2017-03-18 01:36:08.835865,770041,527729,WSF6606X,Whitegoods & Appliances,Westinghouse WSF6606X 15 Place Setting Dishwasher,WESTINGHOUSE,2016-09-18,https://www.jbhifi.com.au/whitegoods-appliances/dishwashers/westinghouse/westinghouse-wsf6606x-15-place-setting-dishwasher/527729/
