2017-05-05 01:25:28.145144,858516,442889,FEAR00196,Music,Deadweight (Vinyl),UMA,2017-08-04,https://www.jbhifi.com.au/music/Whats-Hot/metal-metalcore/deadweight-vinyl/442889/
2017-05-05 01:25:36.133641,858518,442909,RDR137-2,Music,Whole Enchilada- The,NEWMARKET,2017-06-23,https://www.jbhifi.com.au/music/browse/punk-rock/whole-enchilada-the/442909/
2017-05-05 01:25:40.177107,858519,442913,RDR137-1,Music,Whole Enchilada- The (Vinyl),NEWMARKET,2017-06-23,https://www.jbhifi.com.au/music/Whats-Hot/punk-rock/whole-enchilada-the-vinyl/442913/
2017-05-05 01:25:51.442773,858509,442869,FEST601051LP,Music,Closed Circuits: Australian Alternative Electronic Music Of The '70s & '80s- Volume 1 (Vinyl),WARNER,2017-06-09,https://www.jbhifi.com.au/music/Whats-Hot/alternative-electronic-pop-new-wave/closed-circuits-australian-alternative-electronic-music-of-the-70s-80s-volume-1/442869/
2017-05-05 01:25:55.350750,858517,442881,FEAR00214,Music,Different Animals (Vinyl),UMA,2017-06-09,https://www.jbhifi.com.au/music/Whats-Hot/metalcore-heavy-rock/different-animals-vinyl/442881/
2017-05-05 01:25:59.579633,858522,447982,274651,Music,Trouble Maker (Vinyl),WARNER,2017-06-09,https://www.jbhifi.com.au/music/Whats-Hot/punk/trouble-maker-vinyl/447982/
2017-05-05 01:27:55.732595,858597,448043,FP1607-1,Music,Don't Give Up On Love (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/soul/dont-give-up-on-love-vinyl/448043/
2017-05-05 01:28:00.016330,858598,448003,SP1180,Music,Bob's Burgers Music Album- The - Ost (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/soundtrack/bobs-burgers-music-album-the-ost-vinyl/448003/
2017-05-05 01:28:04.055475,858599,448027,STUMM402,Music,Great Annihilator- The (Vinyl) (Reissue),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative/great-annihilator-the-vinyl-reissue/448027/
2017-05-05 01:28:08.101427,858600,448035,FATO011LP,Music,Pinheads- The (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative-rock/pinheads-the-vinyl/448035/
2017-05-05 01:28:12.379900,858601,448019,LITA154,Music,Sing It High- Sing It Low: Tumbleweed Records 1971-1973 (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/rock-pop/sing-it-high-sing-it-low-tumbleweed-records-1971-1973-vinyl/448019/
2017-05-05 01:28:19.848298,858602,448011,ACE159,Music,Bardo State (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/hip-hop/bardo-state-vinyl/448011/
2017-05-05 01:28:23.875362,858728,448071,FP1608-1,Music,Routines (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative/routines-vinyl/448071/
2017-05-05 01:28:27.936719,858729,448051,ZEN243,Music,Compassion (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative-electronic/compassion-vinyl/448051/
2017-05-05 01:28:31.957053,858731,448055,ZEN243X,Music,Compassion (Deluxe Vinyl Edition),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative-electronic/compassion-deluxe-vinyl-edition/448055/
2017-05-05 01:28:36.068675,858732,448059,STH2383,Music,Veins (Vinyl),INERTIA,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/rap-hip-hop/veins-vinyl/448059/
2017-05-05 01:28:40.343103,771781,533737,88843048561,Music,Definitley Maybe - Chasing The Sun Edition (Vinyl) (Reissue),SONY,2017-05-05,https://www.jbhifi.com.au/music/Whats-Hot/rock/definitley-maybe-chasing-the-sun-edition-vinyl-reissue/533737/
2017-05-05 01:28:44.566546,784667,582363,88843087631,Music,(What's The Story) Morning Glory? (Chasing The Sun Edition) (Vinyl) (Reissue),SONY,2017-05-05,https://www.jbhifi.com.au/music/Whats-Hot/rock/whats-the-story-morning-glory-chasing-the-sun-edition-vinyl-reissue/582363/
2017-05-05 01:29:45.880723,783254,581954,LIB166CD,Music,This Is All Yours,UMA SBT,2014-09-19,https://www.jbhifi.com.au/music/browse/alternative/this-is-all-yours/581954/
2017-05-05 01:30:16.835417,858520,442905,RDR138-2,Music,Other People's Greatest Hits,NEWMARKET,2017-05-26,https://www.jbhifi.com.au/music/browse/alternative-rock-punk/other-peoples-greatest-hits/442905/
2017-05-05 01:31:40.133250,858295,442702,MFR104DLP,Music,Mouse & The Mask- The: Official Metalface Version,ROCKET LOCAL,2016-11-06,https://www.jbhifi.com.au/music/Whats-Hot/rap-hip-hop/mouse-the-mask-the-official-metalface-version/442702/
2017-05-05 01:31:58.425621,857878,442616,CD-SHEATH-063,Music,Restless Aim (Import),MGM,2017-05-05,https://www.jbhifi.com.au/music/browse/metal/restless-aim-import/442616/
2017-05-05 01:32:02.849730,857880,442621,MORPHEUSSIXTEENDEL,Music,Great Computer- The (Import),MGM,2017-05-05,https://www.jbhifi.com.au/music/browse/metal/great-computer-the-import/442621/
2017-05-05 01:32:10.626187,858313,442731,MBL155052,Music,World's Ablaze,ROCKET LOCAL,2017-05-05,https://www.jbhifi.com.au/music/browse/metal/worlds-ablaze/442731/
2017-05-05 01:32:15.151138,858316,442726,BSM205CD,Music,Outsiders,ROCKET LOCAL,2017-05-05,https://www.jbhifi.com.au/music/browse/hardcore-punk-metal/outsiders/442726/
2017-05-05 01:32:49.276716,858311,442772,TTBB001CD,Music,Sliding Steel Ep,ROCKET LOCAL,2017-05-05,https://www.jbhifi.com.au/music/browse/blues-soul/sliding-steel-ep/442772/
2017-05-05 01:35:13.018332,857861,442536,RASCO29-2,Music,Live It Up,MGM,2017-05-05,https://www.jbhifi.com.au/music/browse/childrens/live-it-up/442536/
2017-05-05 01:38:33.545407,509233,72323,NB-10L,Cameras,Canon NB-10L Lithium-Ion Battery Pack,CANON,2016-11-05,https://www.jbhifi.com.au/cameras/canon/canon-nb-10l-lithium-ion-battery-pack/72323/
2017-05-05 01:59:39.872179,857334,442192,308397-01,Whitegoods & Appliances,Dyson Pure Hot & Cool Link (Black/Nickel),DYSON,2017-04-15,https://www.jbhifi.com.au/whitegoods-appliances/heating-cooling/dyson/dyson-pure-hot-cool-link-black-nickel/442192/
2017-05-05 01:59:43.937354,857332,442191,308008-01,Whitegoods & Appliances,Dyson Pure Hot & Cool Link (White/Silver),DYSON,2017-04-15,https://www.jbhifi.com.au/whitegoods-appliances/heating-cooling/dyson/dyson-pure-hot-cool-link-white-silver/442191/
